
     +-------------------------------+
     |  stkcd   year   value   delta |
     |-------------------------------|
  1. | 600191   2011       0       . |
  2. | 600191   2012       5       5 |
  3. | 600191   2013       3      -2 |
  4. | 600191   2014       7       4 |
  5. | 600191   2015       2      -5 |
     |-------------------------------|
  6. | 600192   2016       9       . |
  7. | 600192   2017       4      -5 |
  8. | 600192   2018       2      -2 |
  9. | 600192   2019       1      -1 |
 10. | 600192   2020       0      -1 |
     +-------------------------------+
